neighborhood,landsize,housesize,bedroom,bathroom,parkinglot,price
Los Chillos,275,275,3,2,2,140000
Pomasqui,203,203,3,2,4,199000
Ponceano,124,124,3,2,1,140000
Tumbaco,190,190,3,4,3,182000
Tanda,365,306,4,3,1,365000
Conocoto,104,104,3,2,1,79990
Pomasqui,154,149,3,2,1,83000
Sangolqui,225,150,5,2,2,89000
Sur de Quito,250,200,4,2,2,55000
Tumbaco,714,431,3,3,4,460000
Tumbaco,224,224,3,3,2,240000
Cumbayá,305,305,3,2,2,345000
Calderón,186,142,4,3,2,78000
Pomasqui,174,174,3,2,2,93000
Norte de Quito,168,135,3,2,1,97000
San Rafael,220,190,3,2,2,120000
Cumbayá,415,320,3,4,4,589900
Conocoto,155,124,4,2,1,76000
Los Chillos,180,180,3,2,1,175000
Carcelén,411,300,4,3,2,220000
Sangolqui,76,76,3,1,1,69900
Calderón,116,116,3,2,1,88500
Sangolqui,116,116,3,2,1,87000
Amagasí,176,176,3,2,2,139000
Norte de Quito,226,226,3,2,2,160000
La Armenia,165,165,3,2,2,165000
Los Chillos,84,84,3,1,2,68000
Calderón,120,120,3,2,1,122500
Sangolqui,350,260,3,2,2,215000
Sur de Quito,96,96,3,1,1,65000
Cumbayá,328,221,3,3,2,290000
Quito,185,185,3,2,2,95000
La Armenia,238,131,3,2,3,130000
Sangolqui,230,230,4,4,4,189000
El Pinar,230,160,3,4,2,165000
Sur de Quito,155,85,3,2,2,75000
Tumbaco,181,131,3,2,1,129700
Los Chillos,136,136,3,2,2,130000
San Rafael,188,188,3,2,2,183487
Cumbayá,500,500,5,5,2,630000
Monteserrín,322,222,3,3,3,260000
Cumbayá,305,305,3,2,2,349000
Norte de Quito,229,216,4,3,2,190000
Tumbaco,451,273,3,4,4,299000
Cumbayá,210,317,3,3,2,229000
San Isidro - Vista Grande,111,111,3,2,1,76500
Cumbayá,350,350,3,3,3,349000
Las Casas,373,270,4,3,2,150000
Calderón,93,93,3,2,1,80160
La Armenia,117,117,3,1,1,79000
Pomasqui,128,128,3,2,2,95000
Llano Chico,85,85,3,2,1,83000
Carcelén,192,192,3,2,2,130000
Calderón,94,94,3,2,1,70000
Tumbaco,159,142,3,2,1,153000
Amagasí,218,153,3,2,2,145000
El Inca,212,172,4,3,2,99900
Carcelén,191,191,3,2,2,117000
Tumbaco,442,442,4,6,4,320000
Norte de Quito,143,143,3,2,1,110000
Norte de Quito,150,150,3,2,2,89000
Los Chillos,760,435,4,2,3,250000
Sur de Quito,341,341,5,3,2,131000
Ponceano,389,389,3,3,2,250000
Carcelén,136,114,3,2,1,86500
Ponceano,375,331,4,4,3,235000
San Rafael,100,187,3,3,2,182531
Cumbayá,137,137,2,1,2,348000
Sur de Quito,100,100,3,2,1,95000
Tumbaco,175,175,3,2,2,159000
Sangolqui,210,194,4,3,2,195000
Norte de Quito,250,250,4,4,3,178000
Mitad del Mundo,205,205,3,2,2,180000
Conocoto,125,83,2,2,1,67000
Sangolqui,303,240,3,3,3,250000
Miravalle,850,500,4,4,2,640000
Mitad del Mundo,79,79,3,2,1,70000
Pomasqui,217,184,3,2,2,115000
Cumbayá,900,650,3,3,4,700000
San Rafael,188,188,3,2,2,183487
Cumbayá,212,212,3,3,2,245000
Sangolqui,394,225,4,2,2,160000
El Pinar,185,121,3,3,1,89900
Norte de Quito,120,120,3,2,1,99000
Sur de Quito,72,72,3,2,1,54000
La Armenia,112,216,3,2,3,108000
La Armenia,206,125,3,2,2,109900
Nayón - Tanda,305,260,3,3,2,338000
Los Chillos,149,149,3,3,2,110000
Calderón,89,89,3,2,1,76000
Monteserrín,140,140,3,3,1,226093
